fold_change	p_value
1552609_s_at	-0.0380469141593354	1
1552610_a_at	0.661191422318764	3.48326486911021e-08
1552611_a_at	0.502124039355424	0.00413072988243214
1552612_at	0.294479673126461	1
1552613_s_at	0.440636226547689	0.147034315614209
1552615_at	-0.435006589721386	1.91097203178639e-08
1552616_a_at	-0.123728384480495	1
1552617_a_at	0.167316656883635	1
1552618_at	0.272169972564072	0.000180929650682735
1552619_a_at	0.930553630868833	4.3520195559154e-08
1552620_at	-0.133296542080444	1
1552621_at	0.420517942678307	1
1552622_s_at	0.436231489576221	1
1552623_at	0.154633396997086	1
1552625_a_at	-0.337337624677472	0.0536148638889754
1552626_a_at	0.521203020046525	0.818423425497281
1552627_a_at	-0.253282146574686	1
1552628_a_at	0.3980497395497	1.59901140292432e-05
1552629_a_at	0.0174774640316779	1
1552630_a_at	0.0141417104990289	1
1552631_a_at	0.255376643575139	0.0137803428264799
1552632_a_at	0.436250266161138	6.02711185997482e-05
1552633_at	0.34516003185298	0.0119620877707211
1552634_a_at	0.401897395231184	0.00265157452851461
1552637_at	-0.147918747088973	1
1552639_at	-0.0604471788106	1
1552641_s_at	0.171424367825925	1
1552643_at	-0.025275445595943	1
1552644_a_at	0.307934414937834	0.056688567288411
1552646_at	-0.146399353014086	1
1552648_a_at	0.608862705864613	1.06699352894996e-09
1552649_a_at	-0.118863943744622	1
1552651_a_at	-0.161217284163174	1
1552652_at	0.300195896293002	0.000223417560169005
1552656_s_at	-0.0869649527136662	1
1552657_a_at	-0.247129449447396	0.0169689669278105
1552658_a_at	0.181162732200727	1
1552660_a_at	0.0210338853018817	1
1552661_at	0.016114809074208	1
1552662_a_at	-0.00243290299153465	1
1552663_a_at	-0.126086716298055	1
1552664_at	0.304730400796709	0.609655638323368
1552665_at	0.00842119501216754	1
1552666_a_at	-0.0375197461919674	1
1552667_a_at	0.421958059073265	0.157012556156326
1552669_at	0.0065357621371569	1
1552670_a_at	1.35107271447299	3.63798599907929e-15
1552671_a_at	0.0532031314670434	1
1552672_a_at	-0.125230852986643	1
1552673_at	-0.00395512969629941	1
1552674_at	-0.106078914796377	0.478950343978483
1552675_at	-0.0149689075910944	1
1552676_at	-0.236539218588073	0.160785840742587
1552677_a_at	0.19628712419404	1
1552678_a_at	0.0197516199348842	1
1552680_a_at	0.0383250044111909	1
1552682_a_at	-0.543770631875218	1.36224823061976e-07
1552684_a_at	-0.0166160470584416	1
1552685_a_at	-0.168909201535138	1
1552686_at	-0.102048142335533	1
1552687_a_at	-0.0226848614035879	1
1552689_at	0.0428364716285881	1
1552690_a_at	0.217335297056465	0.126513810722891
1552691_at	0.933296256628507	2.25867968833607e-09
1552693_at	-0.0228874347926644	1
1552694_at	-0.00345780152423947	1
1552695_a_at	-0.0925848309553583	1
1552696_at	0.0240740050820292	1
1552698_at	-0.193453600013654	0.00861494364232919
1552701_a_at	1.65686448150315	2.15578058466508e-14
1552703_s_at	1.81992997891286	4.48663450499804e-16
1552705_at	0.0799801623418483	1
1552708_a_at	-0.0416249458409457	1
1552711_a_at	-0.136597420539379	1
